,price,address,beds,baths,size
1128,1149,104 Upper Canada Drive,1,1,
1129,2295,239 Pickering Street,1,1,
1130,2625,2220 Lake Shore Boulevard West,1.5,1,600 
1131,2425,410 Queens Quay West,1,1,620 
1132,2700,52 Forest Manor Road - ,2,1,600 
1133,2650,200 Sudbury Street,1.5,1,624 
1134,2650,27 Bathurst Street,1,1,528 
1135,3800,16 Harrison Garden Boulevard,2,2,899 
1136,2700,1923 Kingston Road,3,1,
1137,3000,19 Western Battery Road,2.5,2,690 
1138,2350,60 Princess Street,1,1,515 
1139,1200 - $1400,187 First Avenue,1 - 4,1,1000 
1140,4690,3 Gloucester Street,2.5,2,1100 
1141,1200,Dixington Crescent,1,1,700 
1142,2350,69 Lynn Williams Street,1,1,650 
1143,2800,50 Lynn Williams Street,2,1,750 
1144,2250,8 Dovercourt Road,1,1,550 
1145,4400,150 Logan Avenue,2,2,750 
1146,4100,7 East York Avenue -,3,3,2000 
1147,3750,33 Denison Avenue,3,3,1000 
1148,5200,7 Grenville Street,3,2,865 
1149,3100,99 West Lodge Avenue,2,1,900 
1150,2700,5 Mabelle Avenue,1,1,
1151,3700,70 Rogers R,3,1,2300 
1152,3650,402 The East Mall,2,2.5,1250 
1153,2795,2 Glen Elm Avenue,2,1,
1154,3800,63 Wishing Well Drive,3,2,1200 
1155,900 - $1000,53 Sunnycrest Road,1,0,
1156,2800,1 Millbrook Crescent,1,1,650 
1157,5700,110 Belmont Street,3.5,3,2000 
1158,4500,269 Murray Ross Parkway,3.5,3,3000 
1159,1600,Beech Avenue,0,1,500 
1160,2295,52 Lappin Avenue,2,1,
1161,1800,293 The Kingsway,1,1,649 
1162,5900,18 Puckeridge Crescent,3,2,2400 
1163,2200,160 Vanderhoof Ave -,1,1,500 
1164,1995,27 Marshlynn Avenue,1,1,1500 
1165,2750,585 Bloor Street East,1,1.5,658 
1166,1850,47 Major Street,1,1,375 
1167,950 - $1100,20 Northover Street - ,1,0,100 - 137 
1168,5000,159 Olive Avenue,4,3.5,2800 
1169,3400,7 Fairbourne Crescent,3,2,
1170,1800,Kipling Avenue,0,0,700 
1171,3100,9 Mabelle Avenue -,2,2,804 
1172,4500,1076 Greenwood Avenue -,3,2,
1173,2190,629 Bathurst Street,3,1,450 
1174,2399,318 Richmond Street West,1,1,550 
1175,2100,Bowhill Crescent,2.5,0.5,1000 
1176,1650,158 Kingston Road,1,1,550 
1177,4600,41 Flook Lane,3,4,2400 
1178,3100,924A Bloor Street West,3,1,850 
1179,1200,19 Bella Vista Way,1,1,
1180,2650,98 Phillip Avenue,2,1,1100 
1181,1800,112 Borden Street,1,1,1090 
1182,2400,120 Dallimore Circle,1.5,1,544 
1183,3500,159 Dundas Street East,2,2,720 
1184,3500,101 Charles Street East,2,2,800 
1185,2450,69 Lynn Williams Street,1,1,619 
1186,3050,Dufferin Street,2,1,1100 
1187,1800,57 Saint Joseph Street,3,1,1000 
1188,2200,36 Greenwood Avenue,1,1,700 
1189,4200,75 Canterbury Place,2,2,1050 
1190,3050,125 Peter Street,1.5,1,600 
1191,1595,1582 Bathurst Str,0.5,1,
1192,2100,214 Saint George Street,1,1,
1193,2100,214 Saint George Street,1,1,
1194,2900,35 Saranac Boulevard,2.5,2,900 
1195,2295,15 Hector Avenue,1,1,500 
1196,2600,7 Diagonal Road,2,1.5,1850 
1197,2650,352 Front Street West,1.5,1,570 
1198,3500,35 Empress Avenue,2,2,1050 
1199,2745,157 Symington Avenue,2,1,700 
1200,2745,157 Symington Avenue,2,1,700 
1201,2200,18 Maitland Terrace,0,1,340 
1202,4200,101 Charles Street East,2,2,908 
1203,3800,88 Cumberland Street,1.5,2,750 
1204,2800,Tyrrel Avenue,2.5,1,900 
1205,3200,55 Harrison Garden Boulevard,1.5,0.5,750 
1206,2850,20 Shore Breeze Drive -,2,1,700 
1207,2700,1145 Midland Avenue - S,2,2,950 
1208,3000,Tillplain Road,2,1,700 
1209,2800,9 Boreal Road,3,1,910 
1210,1800,491 Dawes Road -,2,1,700 
1211,3800,220 Victoria Street,2,2,1000 
1212,2950,41 Cartwright Avenue,2,1,
1213,2350,7 Mabelle Avenue,1,1,
1214,4550,131 Kenilworth Avenue,3,1.5,980 
1215,1640,102 Minerva Avenue,2,1,540 
1216,3200,701 Sheppard Avenue West,2,2,1000 
1217,2600,251 Manitoba Street -,1.5,1,600 
1218,2750,260 Seneca Hill Drive,2,1,
1219,2800,2221 Yonge Street,1,1,550 
1220,3000,28 Freeland Street,0,0,
1221,922,99 Bellevue Avenue,1,1,
1222,1500,Sonic way,1,1,
1223,2950,9 Winfield Avenue,2,1,1000 
1224,2900,140 Dovercourt Road,1,1,900 
1225,1400,16 Constance Street,1,1,450 
1226,4950,357 King Street West,3,2,1095 
1227,3000,1937 Lawrence Avenue West,2,2,1050 
1228,2800,1183 Royal York Road,2,1,1500 
1229,2400,101 Peter Street,1,1,
1230,3700,85 Wood Street,2,2,907 
1231,1500,18 Gifford Street,0,0,600 
1232,1799,53 Dawes Road,0,1,
1233,4800,35 Mariner Terrace,3,2,1299 
1234,3950,21 Iceboat Terrace,3,2,1400 
1235,2600,53 Emerson Avenue,2,1,
1236,2000,17 Michael Power Place,1,1,599 
1237,2400,130 River Street,1,1,600 
1238,2500,22 Franson Crescent,3,1,1300 
1239,2550,1401 O'Connor Drive,1.5,2,750 
1240,2700,300 Balliol Street,1.5,1,765 
1241,2450,2221 Yonge Street,1,1,599 
1242,3650,727 Avenue Road,2,2,1710 
1243,2480,357 King Street West,1,1,552 
1244,3700,2063 Weston R,3,2.5,1335 
1245,1600,100 Parrotta Drive - ,2,2,998 
1246,1400,68 Monkton Avenue -,1,1,
1247,2600,1430 Yonge St | Unit: 401,2,2,1841 
1248,995,Huron Street,1,1,
1249,1600,215 Queen Street West,1,1,742 
1250,2697,390 Queens Quay West,1.5,1,639 
1251,3300,1369 Bloor Street West,2,2,850 
1252,3695,32 Rowanwood Avenue,2,1,797 
1253,2500,90 Glen Everest Road,1.5,1,553 
1254,3400,12th Street,2,2.5,1100 
1255,3050,27 Bathurst Street,1,1,458 
1256,3125,5791 Yonge Street,2,1,775 
1257,1500,215 Queen Street West,1,1,742 
1258,2850,251 Manitoba Street,1,1,610 
1259,2500,57 Saint Joseph Street,1,1,410 
1260,2000,70 Annie Craig Drive,1,1,525 
1261,2300,112 George Street,1,1,652 
1262,3300,357 King Street West,1,1,569 
1263,2300,921 Midland Avenue,1.5,1,700 
1264,3495,467 Vaughan Road,2,1.5,1000 
1265,2400,456 Armadale Avenue,1,1,600 
1266,3800,11 Wellesley Street West,2.5,2,738 
1267,3995,150 Logan Avenue,2.5,2,930 
1268,3950,115 Blue Jays Way,2,2,792 
1269,1500,165 Woodsworth Road,1,1,200 
1270,1950,18 Harbour Street,1,1,700 
1271,2600,11 Wellesley Street West,1,1,
1272,2500,157 Argyle Street,2,1,1000 
1273,4800,8 Mercer Street,3,2,915 
1274,3295,48 Power Street,1.5,1,549 
1275,3095,130 River Street,2,2,692 
1276,2600,130 River Street,1,1,500599 
1277,2475,150 Logan Avenue,1,1,499 
1278,2399,1346 Danforth Road - S,2,2,800 
1279,1900,1651 Victoria Park Avenue - S,1,1,700 
1280,2200,1651 Victoria Park Avenue - S,2,1,900 
1281,2950,45 Baseball Place,2,2,670 
1282,1200,1501 Woodbine Avenue,1,1,
1283,3100,18 Stafford Street,1,1,725 
1284,2900,1350 Kingston Road,1,1,600 
1285,2800,60 Pelmo Crescent,2,1,730 
1286,2600,56 Forest Manor Road,1,1,550 
1287,2650,33 Shore Breeze Drive,1,1,500 
1288,2250,33 Helendale Avenue,1,1,435 
1289,3000,1192 Dufferin Street,2,1,1000 
1290,3600,1192 Dufferin Street,2,1,1000 
1291,2900,30 Gloucester Street,1,1,750 
1292,2900,60 Byng Avenue - ,2,2,800 
1293,8888,98 Lillian Street,0.5,1,888 
1294,5500,585 Bloor Street East,3,2,1364 
1295,1050,284 Codsell Avenue,1,1,
1296,4300,2 Roxborough Street East,1.5,1,800 
1297,3100,200 Manitoba Street,1.5,1.5,1000 
1298,2115 - $2265,299 Glenlake Avenue,1,1,537 - 548 
1299,2395,1836 Queen Street East,2,1,1200 
1300,2390,45 Charles Street East,0,1,500 
1301,3400,59a Roseland Drive,3,1.5,1408 
1302,2700,156 Portland Street,1,1,680 
1303,1250,350 Lansdowne Avenue,1,1,650 
1304,3700,58 Lawrence Avenue East,3,3,1500 
1305,1425,350 Lansdowne Avenue,1,1,650 
1306,1700,286 Perth Avenue,1,1,
1307,1700,1216 Ossington Avenue,1,1,
1308,2500,110 Charles Street East,1,1,545 
1309,2000,37 Penhurst Avenue,1,1,500 
1310,3150,1691 Bathurst Street,2.5,1,1215 
1311,2199,47 Lower River Street,1,1,460 
1312,2200,15 Lower Jarvis Street,0,1,479 
1313,900,Warnica Avenue,1,1,120 
1314,2300,105 The Queensway,1,1,460 
1315,2600,7 Broadway Avenue,1.5,1,680 
1316,2500,38 Joe Shuster Way,1,1,700 
1317,2950,2 Glen Elm Avenue,2,1,
1318,2700,14 Glen Elm Avenue,1,1,
1319,3300,1097a Victoria Park Avenue,3,1,1100 
1320,1250,20 Kenton Drive,1,1,
1321,3300,188 Doris Avenue,2,2,836 
1322,2500,Kipling Grove Court,1,1,800 
1323,1300,Clinton Place,4,2,
1324,2450,159 Wellesley Street East,1,1,510 
1325,2750,1 Maison Parc Court,1.5,1,800 
1326,2550,15 Zorra Street,1.5,1,
1327,1300,342 Euclid Avenue,1,1,1184 
1328,3850,92 Indian Road Crescent,3,1,1650 
1329,7950,94 Lake Crescent,4.5,4,
1330,3300,Edgewater Drive,2,2,800 
1331,4800,817 Bloor Street West,4,1,1700 
1332,2700,ssington Avenue,1,1,720 
1333,1900,245 Roehampton Avenue,0,1,450 
1334,700,48 Fernando Road - ,3,1.5,2100 
1335,3400,12 Bonnycastle Street,2.5,2,850 
1336,2580,60 Shuter Street,1.5,2,681 
1337,3500,43 Eglinton Avenue East,2,1,700 
1338,3500,43 Eglinton Avenue East,2,1,700 
1339,3500,43 Eglinton Ave E | Unit: Eglinton Ave East,2,1,700 
1340,3200,200 Sudbury Street,1.5,1,685 
1341,3600,70 Temperance Street,2,2,700 
1342,849,40 Alrita Crescent,1,1,
1343,2850,200 Manitoba Street,1.5,1,1000 
1344,3795,352 Front Street West,1,1,570 
1345,2895,88 Palace Pier Court -,1,1,530 
1346,2750,18 Yorkville Avenue,1.5,1,628 
1347,1580,Queen Street West,1,1,
1348,1100,461 O'Connor Drive -,1,1,
1349,3750,430 Roncesvalles Avenue,2,2,
1350,2000 - $2800,25 Widdicombe Hill -,1 - 3,1 - 2,777 - 1485 
1351,3135,91 Soudan Avenue,2,1,1000 
1352,4200,11 Niagara Street,2,1,1200 
1353,2650,15 Queens Quay West,1,1,526 
1354,2900,51 East Liberty Street,1,1,700 
1355,2200,2961 Dufferin Street,1,1,650 
1356,2490,5500 Yonge Street,1.5,1,720 
1357,1400,20 Kenton Drive,1,1,
1358,3000,125 Blue Jays Way,2,2,800 
1359,2700,98 Lillian Street,1.5,1,699 
1360,1750,41 Bowie Avenue,1,1,600 
1361,2600,2885 Bayview Avenue - ,1,1,699 
1362,3000,115 McMahon Drive - ,2,1,799 
1363,4495,398 Westmoreland Avenue North,3,2.5,1250 
1364,3000,15 Grenville Street,1.5,1,660 
1365,2400,2899 Bloor Street West,2,1,950 
1366,2200,Gerrard Street East,2,1,600 
1367,2100,7 Mabelle Avenue,0,1,438 
1368,1200,1097 Victoria Park Avenue,3,1,1100 
1369,4200,280 Simcoe Street,2.5,2,1450 
1370,2600,2A Church Street,1.5,1,
1371,5000,1 Edgewater Drive,2,2,3000 
1372,4200,56 Evans Avenue,3,3,1100 
1373,4200,239 Pickering Street,3,1,1200 
1374,2900,195 Redpath Avenue,2,2,730 
1375,1190,10 Fredrick Mowat Lane,1,1,120 
1376,1550,1907 Queen Street East,1,1,500 
1377,2800,125 Redpath Avenue,1.5,1,650 
1378,3400,1730 Avenue Road,2,2,1000 
1379,2350,99 Broadway Avenue,1,1,
1380,1050,181 Caribou Road,1,1,
1381,2500,1354 Weston Road,2,1,1100 
1382,1700,8 Lydon Avenue,1,1,700 
1383,1200,7 Pender Crescent,1,1,
1384,2500,5 Soudan Avenue,1.5,1,600 
1385,6200,8 Spadina Avenue,3,2.5,1700 
1386,2100,8 Rockingham Drive,7,3,3500 
1387,3500,335 Lonsdale Road,2,1.5,900 
1388,2000,531 Royal York Road,1,0,1000 
1389,3850,7 King Street East,1.5,2,850 
1390,1395,41 Cartwright Avenue,0,1,235 
1391,4995,266 Atlas Avenue,0,0,1900 
1392,650,33 Darrell Avenue,1,1,
1393,650,33 Darrell Avenue,1,0,
1394,1400,12A Gower Street,1,1,300 
1395,5000,525 Quebec Avenue,3,1.5,1700 
1396,1450,'Connor Drive,1,1,1000 
1397,860,o Frills Lane,1,0,
1398,5100,158 Front Street East,3,2,1061 
1399,3000,65 Annie Craig Drive,2,2,650 
1400,1500,2 Maison Parc Court,1.5,1,750 
1401,2500,2460 Eglinton Avenue East,1.5,1,850 
1402,3900 - $4200,512 Bathurst Street,2.5,1.5,875 - 975 
1403,2550,185 Roehampton Avenue,1.5,1,590 
1404,2400,1730 Avenue Road,1,1,690 
1405,1600,Willowdale Avenue,1,1,500 
1406,1550,59 Sutton Ave,1,1,600 
1407,3100,12 York Street,1,1,500 
1408,4000,57 Saint Joseph Street,2,2,
1409,4995,268 Atlas Avenue,4,3,1900 
1410,3595,116 Hudson Drive,2,2,1500 
1411,2600,25 Selby Street,1,1,
1412,4400,10 York Street,2,2,820 
1413,2600,62 Forest Manor Road - ,1.5,1,630 
1414,2350,60 Haslett Avenue,1,1,500 
1415,300,565 Kennedy Road,1,1,
1416,3000,47 Boem Avenue,3,1,1000 
1417,3400,229 Christie Street,2,1,700 
1418,3000,50 Charles Street East,2,1,800 
1419,2450,525 Richmond Street West,1.5,1,700 
1420,4200,832 Bay Street,3,2,800 
1421,800,Pakenham Drive -,1,1,
1422,4000,1503 Danforth Avenue,2.5,2,2000 
1423,2100,29 Chilton Road,1,4,1800 
1424,960,10 Ruddington Drive - ,1,2,
1425,3000,39 Pemberton Avenue,2,2,800 
1426,4450,1 Bellwoods Park,3,1,1100 
1427,2200,569 Roding Street,1,1,
1428,2500,8 Hillsdale Avenue East,1,1,500 
1429,4380,708 Euclid Avenue,3,0,1300 
1430,2750,655 Royal York Road,2,1,
1431,2100,51 Creekbank Road,1,1,1800 
1432,2250,2 Rean Drive,1,1,600 
1433,1225,William Duncan Road - ,1,1,160 
1434,1800,373 Front Street West,0.5,0.5,1100 
1435,2000,386 Bathurst Street,2,1,
1436,2800,30 Shore Breeze Drive,1.5,1,700 
1437,2600,2221 Yonge Street,1.5,1,650 
1438,3500,34 Tubman Avenue,2,2,700 
1439,3500,34 Tubman Avenue,2,2,700 
1440,4400,708 Euclid Avenue,3,1,1200 
1441,2300,33 Frederick Todd Way,2,2,875 
1442,2550,Brookdale Avenue,1,1,1100 
1443,2590,10 Northtown Way - ,1.5,1,700 
1444,3500,28 Freeland Street,1,1,661 
1445,2500,16 Brookers Lane,1,1,540 
1446,2600,130 River Street,1.5,1,600 
1447,2850,155 Legion Road North,1,2,750 
1448,2900,16 Brookers Lane,1.5,1,635 
1449,2300,50 Cambridge Avenue,1,1,710 
1450,3100,29 Pemberton Avenue,2,2,950 
1451,4000,8 Mercer Street,1.5,1,650 
1452,5500,109 Front Street East,2,2,1450 
1453,1850,5941 Leslie Street,1,1,
1454,2500,128 Fairview Mall Drive,1,1,553 
1455,2500,672 Bathurst Street,2,1,
1456,3950,99 Harbour Square,2,2,1300 
1457,2298,115 Blue Jays Way,1,1,510 
1458,4000,1185 The Queensway,2,2,902 
1459,2350,2221 Yonge Street,1,1,
1460,1750,Lanark Avenue,1,1,850 
1461,5500,16 Minto Street,3,2,
1462,2800,297 College Street,1.5,1,579 
1463,2800,65 Bremner Boulevard,1.5,1,601 
1464,4230,323 Richmond Street East,3,2,1100 
1465,2300,550 Front Street West,1,1,499 
1466,15000,41 Riverside Crescent,4.5,7,4476 
1467,3200,413 Crawford Street,2,1,
1468,2650,30 Ordnance Street,1,0,500 
1469,4200,88 Park Lawn Road,2.5,2,800 
1470,2600,200 Sudbury Street,1.5,1,618 
1471,2195,33 Sheppard Avenue East,0,1,450 
1472,2000,38 Southbourne Avenue,1,1,700 
1473,2500,101 Erskine Avenue,1.5,1,591 
1474,3200,1928 Lake Shore Boulevard West,2,2,1042 
1475,3190,367 Howland Avenue,2,1,750 
1476,3820,369 Howland Avenue,2,1,886 
1477,4180,367 Howland Avenue,2,1,985 
1478,2300,120 Canon Jackson Drive,1,1,700 
1479,4500,78 Dovercourt Road,0,0,
1480,3100,368 Main Street,2,1.5,1300 
1481,5200,2 Augusta Avenue,3,2,939 
1482,3000,70 Annie Craig Drive,2,2,900 
1483,2400,30 Tretti Way,2,2,588 
1484,2500,38 Grenville Street,1,1,515 
1485,2750,15 Highbourne Road,2,1,
1486,2400,10 Deerlick Court,1.5,2,679 
1487,1550,253 College Street,1,0.5,
1488,3000,94 Glen Everest Road,2,1,795 
1489,3000,2212 Lake Shore Boulevard West,2.5,2,
1490,2795,77 Shuter Street,1,1,380 
1491,2190,Dundas Street West,0,1,560 
1492,2900,685 Euclid Avenue,1,1,700 
1493,2700,28 Freeland Street,1.5,1,696 
1494,5500,400 Wellington Street West,2,1.5,1085 
1495,2400,52 Saint Lawrence Street,1,1,800 
1496,1800,41 Davelayne Road - ,2,1,950 
1497,5800,1 Bloor Street East,2,2.5,1052 
1498,3050,45 Baseball Place,2,2,790 
1499,2300,1787 Saint Clair Avenue West,2,2,784 
1500,2500,56 Forest Manor Road,2,2,765 
1501,2400,840 Saint Clair Avenue West,2,2,655 
1502,3000,111 Elizabeth Street,1,1,535 
1503,3500,2191 Yonge Street,1,1,750 
1504,3750,668 Old Weston Road,3,1.5,1400 
1505,2900,1 Old Mill Drive,1.5,1,645 
1506,2600,75 Dalhousie Street,1,1,516 
1507,3200,10 Wilby Crescent,3,2,1000 
1508,2250,921 Midland Avenue,1,1,700 
1509,3750,727 Avenue Road,2,2.5,1710 
1510,4200,77 Maitland Place,2,2,900 
1511,41000,17 Bathurst Street,3,2,878 
1512,9995,9 Peyton Lane,2,2.5,3000 
1513,5295,15 Peyton Lane,1,1,1000 
1514,2400,19 Bathurst Street,1,1,492 
1515,2100,8 Telegram Mews,0,1,420 
1516,3000,17 Ruddington Drive - ,2,2,937 
1517,3400,383 Sorauren Avenue,2,2,805 
1518,1899,219 Dundas Street East,1,1,100 
1519,2800,123 Blantyre Avenue,2,2,
1520,3100,181 Dundas Street East,2,1,669 
1521,3200,55 Cooper Street,2,2,34 
1522,1875,100 Raglan Ave,1,1,800 
1523,3500,44 Saybrook Avenue,3,1,1500 
1524,2400,1808 Saint Clair Avenue West,2,2,747 
1525,2600,33 Sheppard Avenue East - ,1,1,720 
1526,2800,2789 Eglinton Avenue East,2,2,900 
1527,2900,295 Adelaide Street West,1.5,1,665 
1528,2150,9 Mabelle Avenue -,0,1,405 
1529,2600,403 Church Street,1,1,505 
1530,2000,2385 Dundas Street West,1,1,500 
1531,2800,123 Bedford Road,1,1,
1532,4200,26 Kenton Drive,3,1,2500 
1533,4250,540 Saint Clarens Avenue,2.5,2,2000 
1534,4500,1923 Kingston Road,3,2,2800 
1535,4900,8 Stanley Avenue,3,3,1700 
1536,2450,24 Cavell Avenue -,2,1,
1537,2588,180 Fairview Mall Drive,1.5,1,580 
1538,2000,94 Pinegrove Avenue,1,1,750 
1539,1000,2846 Dufferin Street,2,0,150 
1540,2900,2 Augusta Avenue,1.5,1,565 
1541,3500,125 Blue Jays Way,2,2,895 
1542,2600,508 Wellington Street West,1,1,630 
1543,2425,158 Front Street East,1,1,480 
1544,2600,220 Royal York Road,2,1,900 
1545,2600,200 Sudbury Street,1,1,680 
1546,2550,30 Tretti Way,2,2,600 
1547,3500,159 Wellesley Street East,1,1.5,600 
1548,2900,2460 Eglinton Avenue East,2.5,2,1040 
1549,3600,5 Mariner Terrace,1.5,1,600 
1550,4470,4 Forest Laneway - ,1,1,700 
1551,5170,4 Forest Laneway - ,2,1.5,1000 
1552,1850,564 Northcliffe Boulevard,0,1,500 
1553,800,739 Midland Avenue - S,1,1,
1554,2800,25 Telegram Mews,1,1,545 
1555,5500,106 Woodbine Avenue,3,3.5,1500 
1556,6000,293 Woodbine Avenue,3,2.5,1700 
1557,5500,96 Glen Davis Crescent,3,1,1300 
1558,3960,1336 Avenue Road,2,1,1200 
1559,5000,14 York Street,2,1,730 
1560,2400,5500 Yonge Street,1,1,580 
1561,3999,21 Carlton Street,1,1,1000 
1562,2500,224 Victor Avenue,1,1,650 
1563,6000,14 York Street,2,2,1100 
1564,3100,238 Christie Street,2,2,999 
1565,4950,579 Roehampton Avenue,3,3,2000 
1566,3200,2121 Lake Shore Boulevard West,2,2,758 
1567,1650,24 Pendrith Street,0,1,399 
1568,2800,2240 Lake Shore Boulevard West,1.5,1,850 
1569,2600,318 Richmond Street West,1,1,520 
1570,2500,188 Fairview Mall Drive,2,1,800 
1571,2500,33 Frederick Todd Way,2,3,947 
1572,3995,4 Azzarello Lane,2.5,2,2000 
1573,2550,28 Linden Street,1,1,515 
1574,3200,125 Peter Street,1.5,0.5,630 
1575,2650,91 Townsgate Drive,2,1,900 
1576,1750,301 Gowan Avenue -,1,1,450 
1577,3388,232 Blackthorn Avenue,2,2,1800 
1578,2550,251 Manitoba Street,0.5,0.5,520 
1579,2700,70 Annie Craig Drive,1,1,650 
1580,6700,204 Walmer Road,4,4,3650 
1581,2700,251 Manitoba Street,2,2,
1582,6200,284 Saint Helens Avenue,2,1,800 
1583,1800,127 Fitzgibbon Avenue - S,1,1,950 
1584,2600,38 Niagara Street,1,1,575 
1585,2500,8 Mercer Street,1.5,1,599 
1586,2500,330 Richmond Street West,1,1,599 
1587,7000,39 Old Brewery Lane,3,2,1400 
1588,8000,39 Old Brewery Lane,3,2,1400 
1589,3500,8 Telegram Mews,3,2,800 
1590,2200,44 Browning Avenue,1,1,755 
1591,2650,6 Sonic way,1.5,1,760 
1592,3995,55 Cooper Street,3,2,899 
1593,2600,295 Adelaide Street West,1.5,1,650 
1594,2500,20 Edward Street,1,1,544 
1595,3000,60 Saint Clair Avenue West,1.5,1,650 
1596,3200,275 Yorkland Road,2,2,876 
1597,1090,394 Dundas Street East,1,1,
1598,1090,270 Berkeley Street,1,1,300 
1599,3500,5 Soudan Avenue,2,2,
1600,2600,17 Zorra Street,1.5,2,600 
1601,2450,3091 Dufferin Street,1,1,560 
1602,2750,336 The West Mall,2,1,900 
1603,4650,2 Rusholme Park Crescent,3,3,1400 
1604,3400,20 Edward Street,2,2,750 
1605,3100,2201 Kingston Road,2,2,700 
1606,3800,35 Rolling Mills Road,2.5,2,
1607,3950,39 John Perkins Bull Drive - ,3,2.5,1500 
1608,3200,209 Yonge Street,1,2,750 
1609,3400,50 Charles Street East,2,2,690 
1610,2350,126 Simcoe Street,1,1,500 
1611,2500,17 Bathurst Street,1,1,492 
1612,2800,344 Northcliffe Boulevard,2,1,950 
1613,2800,51 East Liberty Street,1.5,1,750 
1614,2500,2306 Saint Clair Avenue W,1.5,1,620 
1615,3100,150 Logan Avenue,0 - 2,0 - 2,717 
1616,4200,219 Fort York Boulevard,2,2,910 
1617,3400,509 Beecroft Road - ,2,2,900 
1618,3500,250 Homewood Avenue - ,3,2,1200 
1619,5000,44 Pembroke Street,3,1,1000 
1620,6500,436 Wellington Street West,2.5,1.5,1500 
1621,6000,15 Maple Avenue,2,1,1300 
1622,3180,130 River Street,2,2,700 
1623,2500,120 Parliament Street,1.5,2,625 
1624,2500,1421 Gerrard Street East,1,1,
1625,1250,280 Wellesley Street East,1,1,
1626,2000,42 Charles Street East,1,1,452 
1627,2200,51 Nordin Avenue,2,1,1250 
1628,1150,280 Wellesley Street East,1,1,
1629,3200,28 Freeland Street,2,1,759 
1630,3200,15 Fort York Boulevard,2,2,999 
1631,2500,90 Queens Wharf Road,1,1,599 
1632,2500,6 Parkwood Avenue,1,1,570 
1633,9000,108 Bleecker Street,6,5,1350 
1634,2200,433 Sherbourne Street,0,1,
1635,2800,1 Yorkville Avenue,1,1,577 
1636,2800,1 Yorkville Avenue,0.5,0.5,577 
1637,2250,22 Pell Street - S,2,1,750 
1638,2800,50 Thomas Riley Road -,2,2,900 
1639,2900,1598 Queen Street East,2,1,700 
1640,5000,458 Woburn Avenue,4,4,
1641,1200,633 Bay Street,1,1,
1642,7890,Cameron Avenue,4,4,3000 
1643,7890,Cameron Avenue,4,4,3000 
1644,7890,Cameron Avenue,4,4,3000 
1645,7890,Cameron Avenue,4,4,3000 
1646,3600,Corinthian Boulevard,3,1,
1647,2600,188 Fairview Mall Drive,1.5,1,573 
1648,3000,50 Portland Street,1,1,610 
1649,3200,2369 Danforth Avenue,2,2,925 
1650,3300,395 Bloor Street East,2,2,729 
1651,2850,1 The Esplanade,1.5,1,655 
1652,1100,280 Wellesley Street East,2,1,
1653,4500 - $6000,761 Bay Street,1 - 2,1 - 2,550 - 900 
1654,4500 - $5977,300 Front Street West,1 - 2,1 - 2,550 - 900 
1655,15000,65 North Heights Road,5,4,3000 
1656,2500,20 Blue Jays Way,1,1,600 
1657,2600,188 Fairview Mall Drive,1.5,2,601 
1658,2950,211 Jarvis Street,2,1,91103 
1659,1550,Edinborough Court,1,1,600 
1660,3100,20 Edward Street,2,1,700 
1661,3000,293 Viewmount Avenue,2,2,1000 
1662,4500 - $6000,140 Simcoe Street,1 - 2,1,550 - 900 
1663,2400,30 Samuel Wood Way,1,1,564 
1664,3300,11 William Carson Crescent,2,2,1050 
1665,3500,25 Adra Grado Way,2,2.5,1156 
1666,4800,2 Valdane Drive - S,5,3,2000 
1667,3100,45 Sunrise Avenue,3,1.5,
1668,2300,1787 Saint Clair Avenue West,1.5,0.5,629 
1669,4800,8 Ridge Hill Drive,3,2,1400 
1670,2300,36 Lisgar Street,1,1,550 
1671,3495,24 Dunraven Drive,3,2,1300 
1672,2450,3020 Dundas Street West,1,1,603 
1673,3300,18 Spring Garden Avenue - ,2,2,855 
1674,2900,30 Oriole Crescent,2,1,1000 
1675,1750,53 Greenbrook Drive,1,1,550 
1676,2800,2460 Eglinton Avenue East,2,2,1000 
1677,3800,78 Thirty Seventh Street,4,2,900 
1678,1875,475 Winona Drive,1,1,600 
1679,3200,16 McAdam Avenue,2,2,
1680,2300,60 Annie Craig Drive,1,1,620 
1681,5000,14 York Street,2.5,2,750 
1682,4600,50 Lombard Street,2,2,1100 
1683,2800,1928 Lake Shore Boulevard West,1.5,2,690 
1684,3300,88 Merryfield Drive,3,1.5,1400 
1685,2350,35 Tubman Avenue,1,1,623 
1686,4000,50 George Butchart Drive,2,2,800 
1687,3750,11 Charlotte Street,2,2,850 
1688,3500,21 Widmer Street,2,2,850 
1689,3395,21 Widmer Street,2,1.5,850 
1690,3200,88 Blue Jays Way,1.5,1,650 
1691,2300,610 Gerrard Street East,3,1,900 
1692,5000,505 Richmond Street West,2,2,1100 
1693,5500,15 Highbourne Road,5,3,3020 
1694,1350,Pembroke Street,1,1,400 
1695,3000,30 Samuel Wood Way,2.5,2,1030 
1696,2750,11 Baden Street,1.5,1,660 
1697,2850,28 Freeland Street,1.5,1,661 
1698,2200,2389 Saint Clair Avenue West,1,1,700 
1699,3390,370 Dixon Road -,3,1,1600 
1700,2400,30 Samuel Wood Way,1.5,1,562 
1701,2600,10 McNairn Avenue,2,1,950 
1702,2600,8 Tippett Road,2,1,622 
1703,2600,2693 Lake Shore Boulevard West,2,1,740 
1704,2700,38 Iannuzzi Street,1.5,1,600 
