,price,address,beds,baths,size
1966,2600,1060 Sheppard Avenue West - ,1.5,1,700 
1967,4000,137 Prescott Avenue,3,4,1500 
1968,2650,357 King Street West,1.5,1,583 
1969,2200,383 Sorauren Avenue,0,1,490 
1970,2300 - $4000,9 Mabelle Avenue -,1.5 - 3,1 - 3,500 - 1200 
1971,2800,110 Charles Street East,1.5,1,700 
1972,2899,155 Yorkville Avenue,1.5,1,610 
1973,3500,10 Criscoe Str,3,3,1255 
1974,2550,2200 Lake Shore Boulevard West -,1.5,1,
1975,2550,251 Hallam Street,1.5,1.5,1200 
1976,5200,721 Gladstone Avenue,3,2.5,1800 
1977,5000,Massey Street,3,2.5,1700 
1978,2550,1030 King Street West,1,1,520 
1979,3300,340 Wallace Avenue,3,2,1150 
1980,8000,37 Snider Ave,5,4,3300 
1981,2700,38 Joe Shuster Way,1.5,2,730 
1982,2450,251 Manitoba Street,1,1,
1983,7500,29 Lois Avenue,7,3,
1984,2500,35 Tubman Avenue,1,1,596 
1985,2500,155 Beecroft Road,2,1,700 
1986,3300,219 Fort York Boulevard,2,2,869 
1987,2700,807 Duplex Avenue,2,1,1150 
1988,3900,21 Grafton Avenue,3,2,1300 
1989,7999,386 Yonge Street,2,2,800 
1990,2749,710 Ossington Avenue,1,1,500 
1991,4327,200 Redpath Avenue,3,2,
1992,2995,138 Downes Street,2,2,750 
1993,2450,7 Smith Crescent,1.5,1,650 
1994,3100,27 Eldora Avenue,2,1.5,860 
1995,2900,1 King Street West,0.5,0,730 
1996,2000,Peterborough Avenue,2,1,1000 
1997,2300,693 Woodbine Avenue,1,1,750 
1998,2600,225 Sumach Street,1.5,0.5,599 
1999,5295,29 Lippincott Street,3,2,2000 
2000,2700,461 Adelaide Street West,1,1,550 
2001,3050,50 Marchmount Road,1,1,680 
2002,2875,20 Joe Shuster Way,2,1,600 
2003,3950,1 Cardiff Road,3.5,2,
2004,1450,7 Kenaston Gardens,1,1,140 
2005,3100,70 Temperance Street,2,1,
2006,3800,42 Denrock Drive,3,2,1400 
2007,2500,30 Samuel Wood Way,1.5,1.5,726 
2008,3500,189 Torbarrie Road,3,2.5,1500 
2009,3150,30 Samuel Wood Way -,2,2,900 
2010,3850,28 Freeland Street,2.5,2,881 
2011,3450,434 Victoria Park Avenue,2,1,873 
2012,2500,2221 Yonge Street,1.5,2,650 
2013,3000 - $7050,215 Lonsdale Road,1 - 2.5,1 - 2.5,583 - 1304 
2014,2500,4 Lindsey Avenue,1,1,800 
2015,5000,456 Huntingwood Drive,3,2.5,2000 
2016,2277,110 Gothic Avenue,1,1,580 
2017,3700,85 Queens Wharf Road,2,2.5,1000 
2018,2500,60 Byng Avenue,1,1,485 
2019,2350,150 Sudbury Street,1,1,470 
2020,3099,50 Ordnance Street,2,2,799 
2021,2500,117 McMahon Drive,1,1,600 
2022,2300,1 Pemberton Avenue,1,1,550 
2023,3500,21 Widmer Street,2,2,860 
2024,1775,1745 Bathurst Street,1,1,775 
2025,3500,320 Richmond Street East,1,1.5,700 
2026,3150,715 Lawrence Avenue West,2,2,1199 
2027,3290,95 McMahon Drive,2,2,770 
2028,2300,7 Concorde Place,1,1,
2029,2850,18 Valley Woods Road,2,1,800 
2030,2450,30 Samuel Wood Way,1.5,1,809 
2031,2500,387 Bloor Street East,1,1,455 
2032,2400,25 Adra Grado Way,1,1,535 
2033,1400,416 Kenneth Avenue,1,1,650 
2034,3500,416 Kenneth Avenue,3.5,1,1700 
2035,2387,357 King Street West,1,1,524 
2036,2500,87 Peter Street,1,1,480 
2037,2550,87 Peter Street,1,1,480 
2038,2600,87 Peter Street,1.5,1,585 
2039,3500,488 University,2,2,
2040,2650,111 St. Clair West,1,2,
2041,3800,158 Front Street East,3,2,
2042,2700,10 Mendelssohn Street - S,2,2,
2043,4200,18 Maitland Terrace,3,2,
2044,2700,111 Elizabeth St. Street,2,2,
2045,2950,38 Grenville Street,2,1,
2046,3600,290 Adelaide Street West,3,2,
2047,3100,17 Zorra Street -,2,2,
2048,2500,70 Temperance Street,1,1,
2049,2480,435 Richmond Street West,2,1,
2050,2100,49 Macdonald Street -,2,1,
2051,2300,20 O' Neill Road - ,1,1,
2052,3450,30 Grand Trunk Crescent,2,2,
2053,2995,1 Shaw Street,2,2,
2054,3050,395 Bloor Street East,2,2,
2055,2950,111 Elizabeth Street,2,2,
2056,2750,111 Elizabeth Street,2,2,
2057,2650,50 Ann O'reilly Road - ,2,1,
2058,3995,398 Westmoreland North,3,3,
2059,6500,83 Grandview,4,4,
2060,2700,39 Roehampton,2,2,
2061,3050,621 Sheppard - ,2,2,
2062,2400,20 O'neill Road - ,1,1,
2063,4200,94 Roe,3,2,
2064,2700,5162 Yonge Street - ,1,1,
2065,3650,438 King Street West,2,2,
2066,2925,140 Simcoe Street,1,1,606 
2067,3300,2221 Yonge Street,2,2,
