,price,address,beds,baths,size,longitude,latitude
633,3200,10 Lamport Avenue,2,1,989 ,-79.377573,43.678789
636,2100,153 St. George Street,0,1,500 ,-79.400203,43.669585
637,1950,560 Birchmount Road,1,1,,-79.27097,43.712305
639,1900,7 Rochefort Drive,2,1,,-79.336918,43.718009
641,1850,44 Thorncliffe Park Drive,1,1,,-79.342997,43.702666
644,1850,48 Grenoble Drive,1,1,612 ,-79.331404,43.716712
649,1800,9 Choiceland Boulevard,1,1,,-79.164986,43.78779
650,1120,70 Pembroke Street,1,1,130 ,-79.372844,43.658463
651,2400,2602 Islington Avenue,1,1,950 ,-79.564752,43.735039
652,2900,388 Richmond Street West,1.5,1,950 ,-79.39503,43.648196
653,3100,1486 Bathurst Street,2,2,819 ,-79.418948,43.683786
654,2000,30 Shore Breeze Drive,1.5,1,700 ,-79.480137,43.623335
655,1300,Fincham Avenue,1,1,,-79.248087,43.890172
656,3400,1085 Danforth Road,3,2.5,1100 ,-79.246151,43.736816
657,2200,9 Mabelle Avenue,1,1,550 ,-79.526043,43.64613
658,2400,35 Mariner Terrace,1.5,1,760 ,-79.392089,43.639669
659,2400,121 McMahon Drive,1.5,1,800 ,-79.370696,43.767647
660,1750,216 Seaton Street,1,0,650 ,-79.370249,43.659925
661,1150,5000 Connor Drive,1,1,,-79.47926,43.155054
662,1900,2221 Yonge Street,1,1,400 ,-79.397957,43.70603
663,3000,85 Wood Street,2.5,2,775 ,-79.379292,43.662786
664,2100,88 Scott Street,0.5,1,400 ,-79.376412,43.648389
665,2400,50 Charles Street East,1,1,600 ,-79.383859,43.669304
666,3000,16th Avenue,3,2.5,2100 ,-79.310526,43.880368
667,2400,26 Norton Avenue,1,1,650 ,-79.412762,43.772615
668,2300,195 Redpath Avenue,1.5,2,650 ,-79.393445,43.710216
669,2700,10 Yonge Street,1.5,1,800 ,-79.375417,43.642487
670,2400,33 Bay Street,1,1,590 ,-79.37708,43.642822
671,2600,50 Ordnance Street,1.5,2,700 ,-79.409724,43.639701
672,2100,215 Queen Street West,0,1,,-79.387785,43.650428
673,3250,1181 Royal York Road,2,1,1200 ,-79.51843,43.664152
674,2900,2212 Lake Shore Boulevard West,2,2,746 ,-79.482478,43.622581
675,2100,190 Manitoba Street,2,1,950 ,-79.491342,43.623832
676,2500,225 Sumach Street,1.5,1,600 ,-79.360375,43.661156
677,2500,70 Distillery Lane,1,1,600 ,-79.3572,43.650463
678,2700,1815 Yonge Street,1.5,1,800 ,-79.395431,43.69602
679,3300,Cummer Avenue,3,3,1600 ,-79.392902,43.792518
680,2000,16 Brookers Lane,1.5,1,635 ,-79.478618,43.626911
681,3000,10 Bowman Street,2,1,800 ,-79.364343,43.665829
682,4500,127 Indian Road,3,1,1700 ,-79.452982,43.643654
683,1200,Skelding Court,1,1,115 ,-79.17897,43.768511
684,2900,40 Panorama Court,2,1,,-79.579922,43.747741
685,2000,79 Ledge Rock Drive,1,1,,-79.548699,43.830074
686,1400,Roxborough Drive,1,1,45 ,-79.37553,43.68271
687,5500,155 Woodbine Ave,3,2,1800 ,-79.305261,43.668247
688,2000,2015 Sheppard Avenue East,2,2,990 ,-79.33731,43.775407
689,1400,94 Steeles Avenue East,1,1,700 ,-79.411835,43.799833
690,4690,3 Gloucester Street,2.5,2,1100 ,-79.385057,43.666748
691,2950,23 Brant Street,1.5,1,800 ,-79.396487,43.645939
692,3100,100 Mornelle Court,3,2,,-79.195014,43.787277
693,2600,35 Viking Lane,1.5,1,,-79.53622,43.638173
694,2950,8 Eglinton Avenue East,2,2,700 ,-79.397774,43.70714
695,2700,59 East Liberty Street,1,1,,-79.413967,43.638683
696,2750,5 Valhalla Inn Road,1.5,1,,-79.559913,43.640268
697,2700,255 Richmond Street East,1,1,,-79.370446,43.652845
698,5000,41 Hellensfield Crescent,3.5,2.5,,-79.586239,43.660985
699,3200,1040 The Queensway,2,2,,-79.516612,43.623543
700,3550,22 Southport Street,3,2,1180 ,-79.472922,43.637144
701,4588,11 Midholm Drive,5,2,1600 ,-79.271873,43.73543
702,1550,1621 Queen Street West,0,1,,-79.44485,43.638776
704,2500,63 Lockerbie Avenue,2,1,1500 ,-79.515795,43.7116
706,10800,215 Woburn Avenue,4,5,,-79.409695,43.726744
707,1300,Major Mackenzie Drive West,1,1,115 ,-79.52601,43.85211
708,2600,197 Yonge Street,1,1,645 ,-79.379369,43.65336
709,2800,23 Cannon Road,2,1,950 ,-79.48757,43.633575
710,5500,575 Bloor Street East,2,2,800 ,-79.372459,43.671834
711,2400,55 Montclair Avenue,1,1,,-79.413181,43.687387
712,2450,55 Cooper Street,1.5,1,700 ,-79.371804,43.644913
713,2300,357 King Street West,1,1,550 ,-79.392406,43.646057
714,2350,38 Iannuzzi Street,1,1,560 ,-79.401417,43.637174
715,2500,87 Peter Street,1.5,1,600 ,-79.392387,43.646874
716,900,16 Taurasi Court,1,1.5,200 ,-79.245591,43.897809
717,1100,Sealstone Terrace,1,1,120 ,-79.220006,43.789776
718,3200,20 Carnation Avenue,2,2,,-79.524808,43.601187
719,3100,125 Western Battery Road,1.5,2,,-79.416695,43.639859
720,2650,2220 Lake Shore Boulevard West,1,1,,-79.483143,43.622845
721,2700,1121 Bay Street,1,1,,-79.388549,43.667986
