,price,address,beds,baths,size,longitude,latitude
505,2550,397 Front Street West,1.5,1,,-79.393402,43.642646
506,2600,318 Richmond Street West,1,1,,-79.3922,43.648924
507,2700,28 Linden Street,1.5,1,,-79.377046,43.670809
508,1350,24 Fernbank Avenue,1,1.5,1200 ,-79.43415,43.66586
509,2795,39 Niagara Street,1.5,1,650 ,-79.4009,43.641981
510,1600,543 Delaware Avenue North,1,1,750 ,-79.43219,43.672194
511,4950,155 Manning Avenue,3,2,,-79.41023,43.650171
512,4800,53 Browning Avenue,3,2,,-79.354963,43.681299
513,2100,238 Claremont Street,1,1,,-79.412307,43.652428
514,1250,1540 Dufferin Street,1,1,150 ,-79.442094,43.674948
515,2350,60 Haslett Avenue,1,1,500 ,-79.307274,43.6742
516,2415,1602 Queen Street East,1,1,749 ,-79.317179,43.666359
517,800,589 Vaughan Road,1,0.5,,-79.43949,43.69207
518,3400,229 Christie Street,2,1,700 ,-79.42045,43.669457
519,3800,1001 Bay Street,2,1,770 ,-79.387142,43.665485
520,2500,15 Baseball Place,1,1,450 ,-79.351509,43.657532
521,3000,50 Charles Street East,2,1,800 ,-79.382999,43.669439
522,2450,525 Richmond Street West,1.5,1,700 ,-79.400407,43.646909
523,2400,130 River Street,1,1,600 ,-79.358454,43.66144
524,2600,25 Selby Street,1,1,,-79.377106,43.671127
525,4200,832 Bay Street,3,2,800 ,-79.386541,43.661953
526,1400,2679B Bathurst Street,1,1,,-79.427586,43.711086
527,2900,124 Morrison Avenue,1,1,900 ,-79.450335,43.683518
528,3100,Langley Avenue,3,1,1610 ,-79.347042,43.669159
529,1850,236 Garden Avenue,1,1,,-79.449588,43.643599
530,4000,1503 Danforth Avenue,2.5,2,2000 ,-79.325358,43.682787
531,2100,29 Chilton Road,1,4,1800 ,-79.347316,43.694865
532,1900,2221 Yonge Street,2,1,650 ,-79.397957,43.70603
533,2525,138 Downes Street,1.5,1,678 ,-79.37118,43.64443
534,1307,30 Grand Trunk Crescent,2,1,750 ,-79.382787,43.642283
535,2900,1808 Saint Clair Avenue West,2,2,,-79.462493,43.673972
536,2750,197 Yonge Street,1,1,645 ,-79.379369,43.65336
537,2800,763 Bay Street,1.5,1,,-79.385106,43.660264
538,2600,100 Harbour Street,1,1,,-79.379243,43.641713
539,4450,1 Bellwoods Park,3,1,1100 ,-79.41688,43.648977
540,2350,99 Broadway Avenue,1,1,,-79.393298,43.710505
541,1795,18 Dartford Road,1,1,600 ,-79.360317,43.678106
542,3300,91 Soudan Avenue,2,1,1000 ,-79.394956,43.704767
543,2790,45 Clinton Street,2,1,770 ,-79.413682,43.655086
544,2350,65 Bremner Boulevard,1,1,450 ,-79.380632,43.643193
545,2500,8 Hillsdale Avenue East,1,1,500 ,-79.396896,43.703832
546,4380,708 Euclid Avenue,3,0,1300 ,-79.41537,43.665144
547,6100,33 Frederick Todd Way,2.5,3,1520 ,-79.360921,43.713887
548,3800,188 Eglinton Avenue East,2,2,1100 ,-79.392592,43.708182
549,2480,357 King Street West,1,1,552 ,-79.392491,43.645893
550,3300,115 Blue Jays Way,2,2,798 ,-79.392123,43.645981
551,6750,261 Roxton Road,3.5,4,2600 ,-79.421562,43.655612
552,2900,15 Lower Jarvis Street,1,1,622 ,-79.369235,43.644951
553,2900,Danforth Avenue,2.5,1,1000 ,-79.315067,43.685194
554,2500,15 Hector Avenue,1,1,430 ,-79.42352,43.67464
555,2800,30 Baseball Place,2,1,660 ,-79.351456,43.657826
556,3300,1 Old Mill Drive,1.5,1,700 ,-79.486647,43.648251
557,5000,55 Stewart Street,2,2,1000 ,-79.401264,43.643243
558,3000,160 Vanderhoof Avenue,2,2,859 ,-79.352876,43.714353
559,4350,387 Cleveland Street,3,2,,-79.380589,43.710005
561,1745,40 Sydenham Street,1,1,1460 ,-79.362348,43.657012
562,1800,373 Front Street West,0.5,0.5,1100 ,-79.392147,43.642933
563,2000,386 Bathurst Street,2,1,,-79.406808,43.653564
564,2600,2221 Yonge Street,1.5,1,650 ,-79.397957,43.70603
565,2500,181 Bedford Road,1.5,1,531 ,-79.399656,43.674808
566,2650,39 Braemar Avenue,2,1,1100 ,-79.407988,43.700656
567,3800,15 Lower Jarvis Street,2,2,750 ,-79.369235,43.644951
569,3500,34 Tubman Avenue,2,2,700 ,-79.359577,43.661241
571,4400,708 Euclid Avenue,3,1,1200 ,-79.41537,43.665144
572,2300,33 Frederick Todd Way,2,2,875 ,-79.360778,43.713564
573,3500,28 Freeland Street,1,1,661 ,-79.374155,43.643857
574,3900,116 Hudson Drive,2,2,1500 ,-79.376899,43.692113
575,2600,130 River Street,1.5,1,600 ,-79.358454,43.66144
576,1750,Westwood Avenue,1,1,650 ,-79.348291,43.686536
577,2300,50 Cambridge Avenue,1,1,710 ,-79.3606,43.677466
578,2400,70 Cambridge Avenue,2,1,820 ,-79.360367,43.678078
579,4000,8 Mercer Street,1.5,1,650 ,-79.389908,43.646006
580,2650,151 Dan Leckie Way,1,1,675 ,-79.397947,43.639783
581,3399,8 The Esplanade,1.5,1,688 ,-79.376394,43.646076
582,5500,109 Front Street East,2,2,1450 ,-79.371031,43.649363
583,3500,75 Portland Street,1.5,1,765 ,-79.399478,43.64392
584,3650,57 Spadina Avenue,2,2,821 ,-79.39436,43.645169
585,2500,672 Bathurst Street,2,1,,-79.410208,43.661828
586,3950,99 Harbour Square,2,2,1300 ,-79.379366,43.639563
587,2450,22 Leader Lane,1,1,500 ,-79.375726,43.649261
588,2298,115 Blue Jays Way,1,1,510 ,-79.391618,43.645641
589,3480,85 Wood Street,2,1,700 ,-79.3792,43.662752
590,2900,289 Roncesvalles Avenue,2,1,900 ,-79.449373,43.647738
591,2350,2221 Yonge Street,1,1,,-79.397957,43.70603
592,1750,Lanark Avenue,1,1,850 ,-79.442057,43.69658
593,3200,672 Broadview Avenue,2,1,700 ,-79.357488,43.674183
594,1150,298 Bathurst Street,0.5,1,,-79.405612,43.650704
595,5500,16 Minto Street,3,2,,-79.324457,43.663763
596,2800,297 College Street,1.5,1,579 ,-79.401559,43.657525
597,2800,65 Bremner Boulevard,1.5,1,601 ,-79.380632,43.643193
598,2500,55 Scollard Street,1,2,1100 ,-79.389362,43.672111
599,3500,105 George Street,2,2,818 ,-79.370793,43.652205
600,850,124 McGill Street,1,1,,-79.37782,43.661036
601,4200,150 Logan Avenue,2.5,2,930 ,-79.341762,43.658368
602,1500,1907 Queen Street East,1,1,350 ,-79.304621,43.668808
603,1800,1926 Lake Shore Boulevard West,2,2,870 ,-79.467492,43.635764
604,2600,110 Earlscourt Ave,4,4,2800 ,-79.448994,43.680202
605,4230,323 Richmond Street East,3,2,1100 ,-79.368469,43.653346
606,2300,550 Front Street West,1,1,499 ,-79.399464,43.641441
607,15000,41 Riverside Crescent,4.5,7,4476 ,-79.484032,43.641537
608,3200,413 Crawford Street,2,1,,-79.418989,43.655537
609,2650,30 Ordnance Street,1,0,500 ,-79.40917,43.639597
610,1750,1999 Danforth Avenue,0,1,500 ,-79.314582,43.685046
611,1250,251 Jarvis Street,1,0.5,577 ,-79.374269,43.657393
612,2600,200 Sudbury Street,1.5,1,618 ,-79.426491,43.642143
613,2750,18 Yorkville Avenue,1.5,1,628 ,-79.387928,43.672001
614,1200,12 Hickory Street,1,1.5,130 ,-79.403218,43.652412
615,1100,12 Hickory Street,1,1.5,100 ,-79.403218,43.652412
616,2500,101 Erskine Avenue,1.5,1,591 ,-79.395323,43.711538
617,2700,156 Portland Street,1,1,680 ,-79.401388,43.647123
618,3000,633 Bay Street,1.5,2,852 ,-79.383455,43.656729
619,1395,Berkeley Street,0,1,,-79.366308,43.656647
620,1350,57 Fennings Street,0.5,0.5,250 ,-79.421614,43.645448
621,3600,49 Beatrice Street,2,1,575 ,-79.415287,43.652052
622,3200,1928 Lake Shore Boulevard West,2,2,1042 ,-79.467962,43.635806
623,3190,367 Howland Avenue,2,1,750 ,-79.412967,43.676309
624,3820,369 Howland Avenue,2,1,886 ,-79.412963,43.676324
625,4180,367 Howland Avenue,2,1,985 ,-79.412967,43.676309
626,2950,195 Redpath Avenue,1.5,2,,-79.393562,43.710344
627,2000,1928 Lake Shore Boulevard West,1.5,2,747 ,-79.467962,43.635806
628,2000,1926 Lake Shore Boulevard West,1.5,2,785 ,-79.467295,43.636029
629,2500,185 Roehampton Avenue,1.5,1,590 ,-79.392823,43.709075
630,4500,78 Dovercourt Road,0,0,,-79.422182,43.642469
631,5200,2 Augusta Avenue,3,2,939 ,-79.399587,43.647472
632,1800,740 Eglinton Avenue West,1,1,670 ,-79.421704,43.702097
633,3750,727 Avenue Road,2,2,1710 ,-79.404424,43.695557
634,2500,38 Grenville Street,1,1,515 ,-79.385703,43.661885
635,2295,622 Davenport Road,1,1,650 ,-79.412898,43.67695
636,2750,15 Highbourne Road,2,1,,-79.403471,43.696129
637,1550,253 College Street,1,0.5,,-79.399042,43.657839
